quad,discipline,class,mode,mode_id,aux_channel,range_start,range_end,logic,linked_to,linked_to_id,slot,bf_version,source
Mob6 AIO5 1st,race,whoop,ARM,0,AUX1,925,1425,OR,,,0,4.4.2,BTFL_cli_backup_MOB6_AIO5 1ST_20251025_143402_CRAZYBEEF4SX1280.txt
Mob6 AIO5 1st,race,whoop,ANGLE,1,AUX2,1700,2100,OR,,,1,4.4.2,BTFL_cli_backup_MOB6_AIO5 1ST_20251025_143402_CRAZYBEEF4SX1280.txt
Mob6 AIO5 1st,race,whoop,BEEPER ON,13,AUX3,1300,2100,OR,,,2,4.4.2,BTFL_cli_backup_MOB6_AIO5 1ST_20251025_143402_CRAZYBEEF4SX1280.txt
Mob6 AIO5 1st,race,whoop,FLIP OVER AFTER CRASH,35,AUX2,1150,1700,OR,,,3,4.4.2,BTFL_cli_backup_MOB6_AIO5 1ST_20251025_143402_CRAZYBEEF4SX1280.txt
Mob6 AIO5 2nd,race,whoop,ARM,0,AUX1,900,1200,OR,,,0,4.5.2,BTFL_cli_backup_MOB6_AIO5 2ND_20251025_140304_CRAZYBEEF4SX1280.txt
Mob6 AIO5 2nd,race,whoop,ANGLE,1,AUX2,1700,2100,OR,,,1,4.5.2,BTFL_cli_backup_MOB6_AIO5 2ND_20251025_140304_CRAZYBEEF4SX1280.txt
Mob6 AIO5 2nd,race,whoop,BEEPER ON,13,AUX3,1200,2100,OR,,,2,4.5.2,BTFL_cli_backup_MOB6_AIO5 2ND_20251025_140304_CRAZYBEEF4SX1280.txt
Mob6 AIO5 2nd,race,whoop,FLIP OVER AFTER CRASH,35,AUX2,1200,1700,OR,,,3,4.5.2,BTFL_cli_backup_MOB6_AIO5 2ND_20251025_140304_CRAZYBEEF4SX1280.txt
Mob6 AIO5 RACE,race,whoop,ARM,0,AUX1,925,1425,OR,,,0,4.4.2,BTFL_cli_backup_MOB6_AIO5 RACE_20241007_152312_CRAZYBEEF4SX1280.txt
Mob6 AIO5 RACE,race,whoop,ANGLE,1,AUX2,1700,2100,OR,,,1,4.4.2,BTFL_cli_backup_MOB6_AIO5 RACE_20241007_152312_CRAZYBEEF4SX1280.txt
Mob6 AIO5 RACE,race,whoop,BEEPER ON,13,AUX3,1300,2100,OR,,,2,4.4.2,BTFL_cli_backup_MOB6_AIO5 RACE_20241007_152312_CRAZYBEEF4SX1280.txt
Mob6 AIO5 RACE,race,whoop,FLIP OVER AFTER CRASH,35,AUX2,1150,1700,OR,,,3,4.4.2,BTFL_cli_backup_MOB6_AIO5 RACE_20241007_152312_CRAZYBEEF4SX1280.txt
Mob6 HDZERO RACE,race,whoop,ARM,0,AUX1,900,1200,OR,,,0,4.4.2,BTFL_cli_backup_MOB6_HDZERO RACE_20250728_143149_CRAZYBEEF4SX1280.txt
Mob6 HDZERO RACE,race,whoop,ANGLE,1,AUX2,1700,2100,OR,,,1,4.4.2,BTFL_cli_backup_MOB6_HDZERO RACE_20250728_143149_CRAZYBEEF4SX1280.txt
Mob6 HDZERO RACE,race,whoop,BEEPER ON,13,AUX3,1200,2100,OR,,,2,4.4.2,BTFL_cli_backup_MOB6_HDZERO RACE_20250728_143149_CRAZYBEEF4SX1280.txt
Mob6 HDZERO RACE,race,whoop,FLIP OVER AFTER CRASH,35,AUX2,1200,1700,OR,,,3,4.4.2,BTFL_cli_backup_MOB6_HDZERO RACE_20250728_143149_CRAZYBEEF4SX1280.txt
Race5,race,whoop,ARM,0,AUX1,925,1425,OR,,,0,4.4.2,BTFL_cli_backup_RACE5_20250124_113817_CRAZYBEEF4SX1280.txt
Race5,race,whoop,ANGLE,1,AUX2,1700,2100,OR,,,1,4.4.2,BTFL_cli_backup_RACE5_20250124_113817_CRAZYBEEF4SX1280.txt
Race5,race,whoop,BEEPER ON,13,AUX3,1300,2100,OR,,,2,4.4.2,BTFL_cli_backup_RACE5_20250124_113817_CRAZYBEEF4SX1280.txt
Race5,race,whoop,AIRMODE,28,AUX2,900,1150,OR,,,3,4.4.2,BTFL_cli_backup_RACE5_20250124_113817_CRAZYBEEF4SX1280.txt
Race5,race,whoop,FLIP OVER AFTER CRASH,35,AUX2,1150,1700,OR,,,4,4.4.2,BTFL_cli_backup_RACE5_20250124_113817_CRAZYBEEF4SX1280.txt
LS-Ultra,race,5-inch,ARM,0,AUX1,900,1300,OR,,,0,4.5.2.KAACK_V15,BTFL_cli_backup_LS-ULTRA_20260721_092829_TMOTORF7.txt
LS-Ultra,race,5-inch,ANGLE,1,AUX2,1700,2100,OR,,,1,4.5.2.KAACK_V15,BTFL_cli_backup_LS-ULTRA_20260721_092829_TMOTORF7.txt
LS-Ultra,race,5-inch,BEEPER ON,13,AUX3,1700,2100,OR,,,2,4.5.2.KAACK_V15,BTFL_cli_backup_LS-ULTRA_20260721_092829_TMOTORF7.txt
LS-Ultra,race,5-inch,BLACKBOX,26,AUX4,1300,1700,OR,,,3,4.5.2.KAACK_V15,BTFL_cli_backup_LS-ULTRA_20260721_092829_TMOTORF7.txt
LS-Ultra,race,5-inch,AIRMODE,28,AUX2,900,1300,OR,,,4,4.5.2.KAACK_V15,BTFL_cli_backup_LS-ULTRA_20260721_092829_TMOTORF7.txt
LS-Ultra,race,5-inch,BLACKBOX ERASE,31,AUX4,1700,2100,OR,,,5,4.5.2.KAACK_V15,BTFL_cli_backup_LS-ULTRA_20260721_092829_TMOTORF7.txt
LS-Ultra,race,5-inch,FLIP OVER AFTER CRASH,35,AUX2,1300,1700,OR,,,6,4.5.2.KAACK_V15,BTFL_cli_backup_LS-ULTRA_20260721_092829_TMOTORF7.txt
LS-Ultra,race,5-inch,VTX PIT MODE,39,AUX4,1300,2100,OR,,,7,4.5.2.KAACK_V15,BTFL_cli_backup_LS-ULTRA_20260721_092829_TMOTORF7.txt
LS-Ultra HD,race,5-inch,ARM,0,AUX1,900,1300,OR,,,0,4.5.3.KAACK_V18,BTFL_cli_backup_LS-ULTRA_HD_20260721_093236_HDZERO_HALO.txt
LS-Ultra HD,race,5-inch,ANGLE,1,AUX2,1700,2100,OR,,,1,4.5.3.KAACK_V18,BTFL_cli_backup_LS-ULTRA_HD_20260721_093236_HDZERO_HALO.txt
LS-Ultra HD,race,5-inch,BEEPER ON,13,AUX3,1300,2100,OR,,,2,4.5.3.KAACK_V18,BTFL_cli_backup_LS-ULTRA_HD_20260721_093236_HDZERO_HALO.txt
LS-Ultra HD,race,5-inch,BLACKBOX,26,AUX4,1300,1700,OR,,,3,4.5.3.KAACK_V18,BTFL_cli_backup_LS-ULTRA_HD_20260721_093236_HDZERO_HALO.txt
LS-Ultra HD,race,5-inch,BLACKBOX ERASE,31,AUX4,1675,2075,OR,,,4,4.5.3.KAACK_V18,BTFL_cli_backup_LS-ULTRA_HD_20260721_093236_HDZERO_HALO.txt
LS-Ultra HD,race,5-inch,FLIP OVER AFTER CRASH,35,AUX2,1300,1700,OR,,,5,4.5.3.KAACK_V18,BTFL_cli_backup_LS-ULTRA_HD_20260721_093236_HDZERO_HALO.txt
LS-Ultra HD,race,5-inch,VTX PIT MODE,39,AUX4,1300,2100,OR,,,6,4.5.3.KAACK_V18,BTFL_cli_backup_LS-ULTRA_HD_20260721_093236_HDZERO_HALO.txt
openracer,race,5-inch,ARM,0,AUX1,900,1300,OR,,,0,4.5.1,BTFL_cli_backup_OPENRACER_20260811_164314_HOBBYWING_XROTORF7CONV.txt
openracer,race,5-inch,ANGLE,1,AUX2,1700,2100,OR,,,1,4.5.1,BTFL_cli_backup_OPENRACER_20260811_164314_HOBBYWING_XROTORF7CONV.txt
openracer,race,5-inch,BEEPER ON,13,AUX3,1700,2100,OR,,,2,4.5.1,BTFL_cli_backup_OPENRACER_20260811_164314_HOBBYWING_XROTORF7CONV.txt
openracer,race,5-inch,BLACKBOX,26,AUX4,1700,2100,OR,,,3,4.5.1,BTFL_cli_backup_OPENRACER_20260811_164314_HOBBYWING_XROTORF7CONV.txt
openracer,race,5-inch,AIRMODE,28,AUX2,900,1300,OR,,,4,4.5.1,BTFL_cli_backup_OPENRACER_20260811_164314_HOBBYWING_XROTORF7CONV.txt
openracer,race,5-inch,BLACKBOX ERASE,31,AUX4,1300,1725,OR,,,5,4.5.1,BTFL_cli_backup_OPENRACER_20260811_164314_HOBBYWING_XROTORF7CONV.txt
openracer,race,5-inch,FLIP OVER AFTER CRASH,35,AUX2,1300,1725,OR,,,6,4.5.1,BTFL_cli_backup_OPENRACER_20260811_164314_HOBBYWING_XROTORF7CONV.txt
openracer,race,5-inch,VTX PIT MODE,39,AUX4,1300,1725,OR,,,7,4.5.1,BTFL_cli_backup_OPENRACER_20260811_164314_HOBBYWING_XROTORF7CONV.txt
openracer2,race,5-inch,ARM,0,AUX1,900,1300,OR,,,0,2025.12.3-alpha.KAACK_V19,BTFL_cli_OPENRACER2_20260811_143646_FOXEERF722V4.txt
openracer2,race,5-inch,ANGLE,1,AUX2,1700,2100,OR,,,1,2025.12.3-alpha.KAACK_V19,BTFL_cli_OPENRACER2_20260811_143646_FOXEERF722V4.txt
openracer2,race,5-inch,BEEPER ON,13,AUX3,1300,2100,OR,,,2,2025.12.3-alpha.KAACK_V19,BTFL_cli_OPENRACER2_20260811_143646_FOXEERF722V4.txt
openracer2,race,5-inch,BLACKBOX,26,AUX4,1700,2100,OR,,,3,2025.12.3-alpha.KAACK_V19,BTFL_cli_OPENRACER2_20260811_143646_FOXEERF722V4.txt
openracer2,race,5-inch,FLIP OVER AFTER CRASH,35,AUX2,1300,1700,OR,,,4,2025.12.3-alpha.KAACK_V19,BTFL_cli_OPENRACER2_20260811_143646_FOXEERF722V4.txt
openracer2,race,5-inch,VTX PIT MODE,39,AUX4,1300,1700,OR,,,5,2025.12.3-alpha.KAACK_V19,BTFL_cli_OPENRACER2_20260811_143646_FOXEERF722V4.txt
XILOF4-2,freestyle,5-inch,ARM,0,AUX1,900,1300,OR,,,0,4.5.1,BTFL_cli_backup_XILOF4-2_20260721_163213_XILOF4.txt
XILOF4-2,freestyle,5-inch,BEEPER ON,13,AUX3,1300,2100,OR,,,1,4.5.1,BTFL_cli_backup_XILOF4-2_20260721_163213_XILOF4.txt
XILOF4-2,freestyle,5-inch,FLIP OVER AFTER CRASH,35,AUX2,1300,1700,OR,,,2,4.5.1,BTFL_cli_backup_XILOF4-2_20260721_163213_XILOF4.txt
XILOF4-2,freestyle,5-inch,USER1,40,AUX4,1300,1700,OR,,,3,4.5.1,BTFL_cli_backup_XILOF4-2_20260721_163213_XILOF4.txt
