vendor,order_date,order_number,item,qty,unit_price,line_total,category,build,flag,source,notes
RaceDayQuads,2021-06-16,474740,BetaFPV Durable Molded Whoop Canopy - Choose Your Color - Blue,1,2.99,2.99,frame,,,17a1251426512b0b,
RaceDayQuads,2021-07-05,483470,RDQ Series 14.8V 4S 850mAh 75C LiPo Micro Battery - XT30/4S,2,16.24,32.48,battery,,,17a7632d109ab68c,
RaceDayQuads,2021-07-11,485884,RDQ 9 Piece Drone Tool Kit V2,1,19.99,19.99,tool,,,17a955b06f40d149,
RaceDayQuads,2021-07-11,485884,"Gemfan Hurricane 3018 Durable Bi-Blade 3"" Prop 8 Pack (1.5mm) - Choose Your Color - Yellow",2,3.29,6.58,prop,,,17a955b06f40d149,
RaceDayQuads,2021-07-21,490406,CNC Aluminum Transmitter Stand - Choose Your Color - Black,1,6.50,6.50,misc,,,17acaf0fc3633873,
RaceDayQuads,2021-07-21,490406,BetaFPV Durable Molded Whoop Canopy - Choose Your Color - Blue,4,2.99,11.96,frame,,,17acaf0fc3633873,
RaceDayQuads,2021-07-21,490406,FrSky XM+ 2.4GHz Micro Receiver,1,12.99,12.99,rx,,,17acaf0fc3633873,
RaceDayQuads,2021-07-29,493341,TweetFPV Grip Tape for Jumper T-Lite - Choose Your Color - Black,1,7.99,7.99,misc,,,17af3755af866740,
RaceDayQuads,2021-07-29,493341,CNHL Ministar 22.2V 6S 1500mAh 120C LiPo Battery - XT60,1,39.99,39.99,battery,,,17af3755af866740,
RaceDayQuads,2021-08-02,494721,Tattu R-Line 14.8V 4S 850mAh 95C LiPo Micro Battery - XT30,2,19.99,39.98,battery,,,17b06feb8b36f794,
RaceDayQuads,2021-08-02,494721,iFlight 90° USB C to Balance Lead Power Cable for GoPro Hero 6/7/8/9,2,6.99,13.98,misc,,,17b06feb8b36f794,
RaceDayQuads,2021-08-02,494721,Flywoo 14.8V 4S 18650 3000mAh 10C Li-Ion Battery for Explorer LR - XT30,1,45.99,45.99,battery,,,17b06feb8b36f794,
RaceDayQuads,2021-08-02,494721,FrSky XSR-SIM Wireless USB Dongle For Simulators,1,19.59,19.59,misc,,,17b06feb8b36f794,
RaceDayQuads,2021-08-06,496780,"HQ Prop T3x1.8x3 Tri-Blade 3"" Prop 4 Pack (1.5mm Shaft) - Choose Your Color - Yellow",3,2.29,6.87,prop,,,17b1c5ba2284d576,
Pyrodrone,2021-08-18,242384,TBS Crossfire Nano RX Special Edition FPV LONG RANGE DRONE RECEIVER,1,29.95,29.95,rx,,,17b5980675d90b16,
RaceDayQuads,2021-08-20,502241,Rush FPV 150mm Battery Strap,1,1.59,1.59,misc,,,17b639e2486d14c5,
RaceDayQuads,2021-08-20,502241,EMAX Nano 5.8GHz Stubby SMA Antenna - Choose Your Polarization - LHCP,1,7.99,7.99,vtx,,,17b639e2486d14c5,
RaceDayQuads,2021-08-20,502241,"Gemfan SL5130 Tri-Blade 5"" Prop 4 Pack - Choose Your Color - Clear Gray",1,2.99,2.99,prop,,,17b639e2486d14c5,
RaceDayQuads,2021-08-25,504286,"Gemfan SL5130 Tri-Blade 5"" Prop 4 Pack - Choose Your Color - Clear Gray",2,2.99,5.98,prop,,,17b7ee30ef7b7311,
RaceDayQuads,2021-08-25,504286,"Gemfan SL5130 Tri-Blade 5"" Prop 4 Pack - Choose Your Color - Milk White",2,2.99,5.98,prop,,,17b7ee30ef7b7311,
RaceDayQuads,2021-08-25,504286,"Gemfan SL5130 Tri-Blade 5"" Prop 4 Pack - Choose Your Color - Whisky",2,2.99,5.98,prop,,,17b7ee30ef7b7311,
RaceDayQuads,2021-09-19,513706,"GEPRC BNF CineLog 30 HD 3"" Cinewhoop w/ Caddx Vista & Polar - Choose RX - TBS CRSF",1,389.99,389.99,misc,,?,17bff4609451e4b3,
RaceDayQuads,2021-09-19,513707,CNHL MiniStar 11.1V 3S 450mAh 70C LiPo Micro Battery - XT30,1,8.69,8.69,battery,,,17bff495283557fc,
RaceDayQuads,2021-09-19,513707,CNHL 22.2V 6S 1500mAh 100C LiPo Battery - XT60,1,35.99,35.99,battery,,,17bff495283557fc,
RaceDayQuads,2021-09-23,515320,Skydroid 150CH 5.8GHz True Diversity FPV Receiver Module for Smartphone - USB OTG,1,27.99,27.99,rx,,,17c123a84b46725d,
RaceDayQuads,2021-09-23,515320,RDQ Series 15.2V 4S 660mAh 90C LiHV Battery - XT30,1,14.99,14.99,battery,,,17c123a84b46725d,
RaceDayQuads,2021-09-28,517041,RDQ Series 15.2V 4S 660mAh 90C LiHV Battery - XT30,3,14.99,44.97,battery,,,17c2cad78ad2850e,
RaceDayQuads,2021-09-28,517041,CNHL MiniStar 11.1V 3S 450mAh 70C LiPo Micro Battery - XT30,1,8.69,8.69,battery,,,17c2cad78ad2850e,
RaceDayQuads,2021-10-03,518759,"HQ Prop T3x3x3 PC Durable Tri-Blade 3"" Prop 4 Pack (3 Hole) - Choose Your Color - Red",4,2.07,8.28,prop,,,17c46f5a68def777,
